gene,inMod
evm.TU.chromosome_1.1220,0
evm.TU.chromosome_1.1221,1
evm.TU.chromosome_1.1222,1
evm.TU.chromosome_1.1223,1
evm.TU.chromosome_1.1224,1
evm.TU.chromosome_1.1225,1
evm.TU.chromosome_1.1226,0
evm.TU.chromosome_1.1227,1
evm.TU.chromosome_1.1229,0
evm.TU.chromosome_1.1230,1
evm.TU.chromosome_1.1231,1
evm.TU.chromosome_1.1232,1
evm.TU.chromosome_1.1235,1
evm.TU.chromosome_1.1236,1
evm.TU.chromosome_1.1237,1
evm.TU.chromosome_1.1238,1
evm.TU.chromosome_1.1239,0
evm.TU.chromosome_1.1241,0
evm.TU.chromosome_1.1242,1
evm.TU.chromosome_1.1243,1
evm.TU.chromosome_1.1244,0
evm.TU.chromosome_1.1245,0
evm.TU.chromosome_1.1246,0
evm.TU.chromosome_1.1247,1
evm.TU.chromosome_1.1248,1
evm.TU.chromosome_1.1249,1
evm.TU.chromosome_1.124_evm.TU.chromosome_1.120,1
evm.TU.chromosome_1.125,0
evm.TU.chromosome_1.1250,1
evm.TU.chromosome_1.1254,1
evm.TU.chromosome_1.1255,1
evm.TU.chromosome_1.1256,1
evm.TU.chromosome_1.1257,1
evm.TU.chromosome_1.1258,1
evm.TU.chromosome_1.1259,1
evm.TU.chromosome_1.126,1
evm.TU.chromosome_1.1260,1
evm.TU.chromosome_1.1261,1
evm.TU.chromosome_1.1262,1
evm.TU.chromosome_1.1263,1
evm.TU.chromosome_1.1264,1
evm.TU.chromosome_1.1265,1
evm.TU.chromosome_1.1266,1
evm.TU.chromosome_1.1267,1
evm.TU.chromosome_1.1268,1
evm.TU.chromosome_1.1269,1
evm.TU.chromosome_1.127,0
evm.TU.chromosome_1.1270,1
evm.TU.chromosome_1.1271,1
evm.TU.chromosome_1.1272,1
evm.TU.chromosome_1.1273,1
evm.TU.chromosome_1.1275,0
evm.TU.chromosome_1.1276,0
evm.TU.chromosome_1.1277,1
evm.TU.chromosome_1.1278,1
evm.TU.chromosome_1.1281,1
evm.TU.chromosome_1.1283,1
evm.TU.chromosome_1.1284,1
evm.TU.chromosome_1.1285,1
evm.TU.chromosome_1.1286,0
evm.TU.chromosome_1.1287,1
evm.TU.chromosome_1.1288,1
evm.TU.chromosome_1.1289,0
evm.TU.chromosome_1.1293,1
evm.TU.chromosome_1.1294,1
evm.TU.chromosome_1.1295,1
evm.TU.chromosome_1.1296,1
evm.TU.chromosome_1.1297,0
evm.TU.chromosome_1.13,0
evm.TU.chromosome_1.130,1
evm.TU.chromosome_1.1300,1
evm.TU.chromosome_1.1302,1
evm.TU.chromosome_1.1303,1
evm.TU.chromosome_1.1304,0
evm.TU.chromosome_1.1305,0
evm.TU.chromosome_1.1306,1
evm.TU.chromosome_1.1307,1
evm.TU.chromosome_1.131,0
evm.TU.chromosome_1.1310,1
evm.TU.chromosome_1.1312,1
evm.TU.chromosome_1.1313,1
evm.TU.chromosome_1.1314,0
evm.TU.chromosome_1.1315,1
evm.TU.chromosome_1.132,0
evm.TU.chromosome_1.1320,1
evm.TU.chromosome_1.1321,0
evm.TU.chromosome_1.1322,0
evm.TU.chromosome_1.1323,1
evm.TU.chromosome_1.1325,1
evm.TU.chromosome_1.133,1
evm.TU.chromosome_1.1333,0
evm.TU.chromosome_1.1334,1
evm.TU.chromosome_1.1335,1
evm.TU.chromosome_1.1336,1
evm.TU.chromosome_1.1337,1
evm.TU.chromosome_1.1338,0
evm.TU.chromosome_1.1339,1
evm.TU.chromosome_1.134,0
evm.TU.chromosome_1.1341,0
evm.TU.chromosome_1.1342,0
evm.TU.chromosome_1.1346,0
evm.TU.chromosome_1.1347,1
evm.TU.chromosome_1.1348,1
evm.TU.chromosome_1.135,0
evm.TU.chromosome_1.1350,1
evm.TU.chromosome_1.1352,1
evm.TU.chromosome_1.1353,0
evm.TU.chromosome_1.1356,1
evm.TU.chromosome_1.1357,1
evm.TU.chromosome_1.1358,1
evm.TU.chromosome_1.1359,1
evm.TU.chromosome_1.136,1
evm.TU.chromosome_1.1362,0
evm.TU.chromosome_1.1364,1
evm.TU.chromosome_1.1365,1
evm.TU.chromosome_1.1366,1
evm.TU.chromosome_1.1367,1
evm.TU.chromosome_1.1368,1
evm.TU.chromosome_1.1369,1
evm.TU.chromosome_1.137,0
evm.TU.chromosome_1.1370,0
evm.TU.chromosome_1.1371,0
evm.TU.chromosome_1.1374,1
evm.TU.chromosome_1.1375,1
evm.TU.chromosome_1.1376,0
