delta.rank	pval	level	nseqs	term	name	p.adj
0	2.28687124843252e-6	3	1684	GO:0004930	G protein-coupled receptor activity	0.00203302853985651
0	2.7096832727246e-5	5	543	GO:0008227	G protein-coupled amine receptor activity	0.0120445421472608
