delta.rank	pval	level	nseqs	term	name	p.adj
0	7.32089298859147e-6	2	231	GO:0006940	regulation of smooth muscle contraction	0.00490499830235628
0	2.15864252168919e-5	4	1187	GO:0007186	G protein-coupled receptor signaling pathway	0.00964193659687838
0	3.91156353880435e-10	5	13036	unknown	unknown	5.24149514199783e-7
