delta.rank	pval	level	nseqs	term	name	p.adj
0	4.16556903441403e-5	3	51	GO:0032222	regulation of synaptic transmission, cholinergic	0.027909312530574
0	2.32230341900462e-12	5	13036	unknown	unknown	3.11188658146619e-9
