Genotype,nubbin,treat,Sym Status,Treatment,Tank,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,
AF3,3,heat_3,B,Heat,3,5,5,5,5,5,5,5,5,5,5,5,5,5,
AP4,4,heat_3,W,Heat,3,5,5,5,5,5,5,5,5,5,5,5,5,4,
AC6,6,heat_3,W,Heat,3,5,5,5,5,5,5,5,5,5,5,5,5,5,
AE3,3,heat_3,W,Heat,3,5,4,5,4,5,5,5,4,5,5,4,5,3,
AH1,1,heat_3,W,Heat,3,5,5,5,5,5,5,5,5,5,5,5,5,5,
AJ6,6,cold_1,B,Cold,1,5,5,5,5,4,5,5,4,3,3,2,3,1,
AF5,5,cold_1,B,Cold,1,4,5,5,5,5,5,5,5,4,4,1,3,1,
AB2,2,cold_1,B,Cold,1,5,5,5,5,5,5,5,5,4,4,2,4,1,
AH3,3,cold_1,W,Cold,1,4,5,5,5,5,5,5,5,2,2,1,2,1,
AA3,3,cold_1,W,Cold,1,5,5,5,5,4,4,4,4,4,3,1,1,1,
AD6,6,cold_1,W,Cold,1,5,5,4,5,5,5,5,4,4,3,1,1,1,
AE1,1,cold_1,W,Cold,1,4,5,5,5,5,5,5,5,3,5,2,2,1,
AM1,1,cold_1,B,Cold,1,5,5,5,5,5,5,5,4,2,3,1,1,1,
AO5,5,cold_1,B,Cold,1,5,5,5,5,5,5,5,5,4,5,1,4,1,
AR2,2,cold_1,B,Cold,1,5,5,5,5,5,5,5,5,4,5,3,3,1,
AT5,5,cold_1,B,Cold,1,5,5,5,5,5,5,5,3,3,2,2,2,1,
AJ1,1,cold_2,B,Cold,2,5,5,4,5,4,4,4,4,1,2,1,2,1,
AI5,5,cold_2,B,Cold,2,5,5,5,5,5,5,5,5,4,5,3,3,2,
AB5,5,cold_2,B,Cold,2,5,5,5,5,5,5,5,5,5,3,3,4,1,
AK3,3,cold_2,W,Cold,2,5,5,5,5,5,5,5,5,5,5,2,3,1,
AC2,2,cold_2,W,Cold,2,5,5,5,5,5,5,5,5,4,5,2,5,1,
AD8,8,cold_2,W,Cold,2,4,5,5,5,5,5,5,5,4,5,1,1,1,
AG4,4,cold_2,W,Cold,2,4,5,5,5,5,5,4,4,3,4,1,2,1,
AL1,1,cold_2,B,Cold,2,5,5,5,5,5,5,5,5,4,5,1,2,1,
AQ6,6,cold_2,B,Cold,2,5,5,5,5,5,5,5,5,5,2,2,4,1,
AS5,5,cold_2,B,Cold,2,5,5,5,5,5,5,5,5,4,5,2,2,1,
AT4,4,cold_2,B,Cold,2,5,5,5,5,5,5,5,3,2,1,1,1,1,
AJ2,2,cold_3,B,Cold,3,5,5,5,5,5,5,5,4,4,5,4,4,1,
AI4,4,cold_3,B,Cold,3,5,5,5,5,5,4,3,5,3,5,3,1,1,
AF8,8,cold_3,B,Cold,3,5,5,5,5,5,4,5,5,4,5,3,3,1,
AP1,1,cold_3,W,Cold,3,5,5,5,5,5,3,3,5,4,4,3,2,1,
AC5,5,cold_3,W,Cold,3,5,5,5,5,4,5,5,5,4,5,2,2,1,
AE2,2,cold_3,W,Cold,3,4,5,5,5,5,5,5,5,4,5,3,3,1,
AG3,3,cold_3,W,Cold,3,5,5,5,5,5,5,2,4,3,4,3,2,1,
AN2,2,cold_3,B,Cold,3,5,5,5,5,5,4,3,5,4,5,3,4,1,
AR3,3,cold_3,B,Cold,3,5,5,5,5,5,5,5,5,4,5,4,4,1,
AS2,2,cold_3,B,Cold,3,4,5,5,5,5,5,4,4,4,5,3,3,1,
