"","no.par","AIC","logLik","LR.stat","df","Pr(>Chisq)"
"as_reduced_model",9,1767.79859841794,-874.899299208969,NA,NA,NA
"as_model",11,1748.51332633952,-863.25666316976,23.2852720784188,2,8.78349611140132e-06
